COUNTRY,FLOW,PARTNER,YEAR,VALUE
Australia,Exports,Switzerland,2012,685729357
Australia,Exports,Switzerland,2013,794732064
Australia,Exports,Switzerland,2014,494355453
Australia,Exports,Switzerland,2015,590274265
Australia,Exports,Switzerland,2016,779204931
Australia,Exports,Switzerland,2017,1093695476
Australia,Exports,Switzerland,2018,869203527
Australia,Exports,Turkey,2011,576995547
Australia,Exports,Turkey,2012,685620204
Australia,Exports,Turkey,2013,857393114
Australia,Exports,Turkey,2014,442779449
Australia,Exports,Turkey,2015,357280147
Australia,Exports,Turkey,2016,402620380
Australia,Exports,Turkey,2017,1121691386
Australia,Exports,Turkey,2018,330196969
Australia,Exports,United Kingdom,2011,7467858947
Australia,Exports,United Kingdom,2012,6621229282
Australia,Exports,United Kingdom,2013,3531071151
Australia,Exports,United Kingdom,2014,3307117589
Australia,Exports,United Kingdom,2015,2750048251
Australia,Exports,United Kingdom,2016,7422483085
Australia,Exports,United Kingdom,2017,4595057398
Australia,Exports,United Kingdom,2018,3606229428
Australia,Exports,United States,2011,8204945209
Australia,Exports,United States,2012,7916244045
Australia,Exports,United States,2013,7587362332
Australia,Exports,United States,2014,9311359638
Australia,Exports,United States,2015,9310645414
Australia,Exports,United States,2016,8301850725
Australia,Exports,United States,2017,8502579726
Australia,Exports,United States,2018,9397107824
Australia,Exports,Argentina,2011,297358100
Australia,Exports,Argentina,2012,140306132
Australia,Exports,Argentina,2013,125244044
Australia,Exports,Argentina,2014,106130937
Australia,Exports,Argentina,2015,125863493
Australia,Exports,Argentina,2016,111674072
Australia,Exports,Argentina,2017,133608260
Australia,Exports,Argentina,2018,263649694
Australia,Exports,Brazil,2011,1125601802
Australia,Exports,Brazil,2012,834266085
Australia,Exports,Brazil,2013,685345863
Australia,Exports,Brazil,2014,960779303
Australia,Exports,Brazil,2015,867886578
Australia,Exports,Brazil,2016,719928295
Australia,Exports,Brazil,2017,1133058290
Australia,Exports,Brazil,2018,977632695
Australia,Exports,Chile,2011,481896049
Australia,Exports,Chile,2012,449823735
Australia,Exports,Chile,2013,338772469
Australia,Exports,Chile,2014,232456652
Australia,Exports,Chile,2015,245730455
Australia,Exports,Chile,2016,338409867
Australia,Exports,Chile,2017,295928999
Australia,Exports,Chile,2018,240961171
Australia,Exports,China (People's Republic of),2011,71286096842
Australia,Exports,China (People's Republic of),2012,73943562502
Australia,Exports,China (People's Republic of),2013,88001370961
Australia,Exports,China (People's Republic of),2014,85509068016
Australia,Exports,China (People's Republic of),2015,56467755246
Australia,Exports,China (People's Republic of),2016,55231727398
Australia,Exports,China (People's Republic of),2017,68975542123
Australia,Exports,China (People's Republic of),2018,83895758026
Australia,Exports,Estonia,2011,12415052
Australia,Exports,Estonia,2012,7791022
Australia,Exports,Estonia,2013,4876738
Australia,Exports,Estonia,2014,4414530
Australia,Exports,Estonia,2015,3594707
Australia,Exports,Estonia,2016,3853278
Australia,Exports,Estonia,2017,4209634
Australia,Exports,Estonia,2018,3133887
Australia,Exports,India,2011,15416264650
Australia,Exports,India,2012,12469749415
Australia,Exports,India,2013,8501829795
Australia,Exports,India,2014,7791622978
Australia,Exports,India,2015,7542407649
Australia,Exports,India,2016,7232443778
Australia,Exports,India,2017,10969521090
Australia,Exports,India,2018,11577601136
Australia,Exports,Indonesia,2011,5023367685
Australia,Exports,Indonesia,2012,4486715037
Australia,Exports,Indonesia,2013,4222171387
Australia,Exports,Indonesia,2014,4421235007
Australia,Exports,Indonesia,2015,3532483239
Australia,Exports,Indonesia,2016,3926337062
Australia,Exports,Indonesia,2017,4914378832
Australia,Exports,Indonesia,2018,4695290275
Australia,Exports,Israel,2011,247803462
Australia,Exports,Israel,2012,219241487
Australia,Exports,Israel,2013,187734781
Australia,Exports,Israel,2014,175003880
Australia,Exports,Israel,2015,180635569
Australia,Exports,Israel,2016,168586723
Australia,Exports,Israel,2017,135504948
Australia,Exports,Israel,2018,197914475
Australia,Exports,Russia,2011,541745208
Australia,Exports,Russia,2012,436772030
Australia,Exports,Russia,2013,466124002
Australia,Exports,Russia,2014,250564141
Australia,Exports,Russia,2015,111932273
Australia,Exports,Russia,2016,111843804
Australia,Exports,Russia,2017,141287726
Australia,Exports,Russia,2018,326892407
Australia,Exports,Saudi Arabia,2011,1209348566
Australia,Exports,Saudi Arabia,2012,1410692665
Australia,Exports,Saudi Arabia,2013,1454478850
Australia,Exports,Saudi Arabia,2014,1388792414
Australia,Exports,Saudi Arabia,2015,1272406755
Australia,Exports,Saudi Arabia,2016,1057691425
Australia,Exports,Saudi Arabia,2017,879201175
Australia,Exports,Saudi Arabia,2018,533402630
Australia,Exports,Slovenia,2011,26337722
Australia,Exports,Slovenia,2012,8461435
Australia,Exports,Slovenia,2013,35965607
Australia,Exports,Slovenia,2014,17701394
Australia,Exports,Slovenia,2015,25979382
Australia,Exports,Slovenia,2016,33967828
Australia,Exports,Slovenia,2017,94163466
Australia,Exports,Slovenia,2018,30642840
Australia,Exports,South Africa,2011,1169864718
Australia,Exports,South Africa,2012,1128530660
Australia,Exports,South Africa,2013,746548342
Australia,Exports,South Africa,2014,631607920
Australia,Exports,South Africa,2015,584501482
Australia,Exports,South Africa,2016,765942276
Australia,Exports,South Africa,2017,1058341750
Australia,Exports,South Africa,2018,1238775156
Austria,Exports,Australia,2010,846415657
Austria,Exports,Australia,2011,943280593
Austria,Exports,Australia,2012,969065078
Austria,Exports,Australia,2013,995264084
Austria,Exports,Australia,2014,1060938291
Austria,Exports,Australia,2015,848243933
Austria,Exports,Australia,2016,1171079626
Austria,Exports,Belgium,2010,2057616038
Austria,Exports,Belgium,2011,2437267179
Austria,Exports,Belgium,2012,2275546468
Austria,Exports,Belgium,2013,2282441447
Austria,Exports,Belgium,2015,1919185523
Austria,Exports,Belgium,2016,1836294763
Austria,Exports,Canada,2010,895952537
Austria,Exports,Canada,2011,1019574230
Austria,Exports,Canada,2012,1030474014
Austria,Exports,Canada,2013,1136874930
Austria,Exports,Canada,2014,1243814476
Austria,Exports,Canada,2015,1087101188
Austria,Exports,Canada,2016,1058833974
Austria,Exports,Czech Republic,2010,5885127024
Austria,Exports,Czech Republic,2011,6610621742
